source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
0000007_04999_d_00000365_features,averaged,averaged_features,0.76704943,0.23295057,22.44648551940918,689.4597,670.7308
0000007_04999_d_00000365_features,individual,0000076_05079_d_00000196_features_rare1,0.80280864,0.19719136,20.817235946655273,659.77637,807.8629
0000007_04999_d_00000365_features,individual,0000204_00332_d_00001924_features,0.7200983,0.2799018,24.680376052856445,792.7871,752.0018
0000007_04999_d_00000365_features,individual,maybe_pickup_frame243013_features,0.69084454,0.3091554,26.093605041503906,828.3496,741.96625
0000007_04999_d_00000365_features,individual,pickuptruck2_346_features_rare2,0.7381292,0.2618708,23.644519805908203,728.6334,721.29596
0000204_00000_d_000019123_features,averaged,averaged_features,0.82887113,0.17112887,15.90330982208252,503.0918,587.50507
0000204_00000_d_000019123_features,individual,0000076_05079_d_00000196_features_rare1,0.6488693,0.35113066,23.94053840637207,753.28406,529.2764
0000204_00000_d_000019123_features,individual,0000204_00332_d_00001924_features,0.83452487,0.16547519,16.819438934326172,532.83887,706.42505
0000204_00000_d_000019123_features,individual,maybe_pickup_frame243013_features,0.7215658,0.27843422,22.160358428955078,702.2128,628.1732
0000204_00000_d_000019123_features,individual,pickuptruck2_346_features_rare2,0.5607386,0.43926138,26.380874633789062,821.9745,444.1619
0000352_04705_d_000056326_features,averaged,averaged_features,0.8466582,0.15334177,15.298992156982422,484.58575,609.3873
0000352_04705_d_000056326_features,individual,0000076_05079_d_00000196_features_rare1,0.85343313,0.14656687,15.582639694213867,497.6447,706.896
0000352_04705_d_000056326_features,individual,0000204_00332_d_00001924_features,0.76961035,0.23038977,19.93903923034668,637.8232,661.54346
0000352_04705_d_000056326_features,individual,maybe_pickup_frame243013_features,0.7558314,0.24416852,20.880367279052734,639.61066,668.17334
0000352_04705_d_000056326_features,individual,pickuptruck2_346_features_rare2,0.6567098,0.3432904,23.510478973388672,709.86694,528.2201
9999937_00000_d_00002213_features,averaged,averaged_features,0.65306085,0.34693915,20.733327865600586,608.0269,404.46426
9999937_00000_d_00002213_features,individual,0000076_05079_d_00000196_features_rare1,0.63966596,0.36033398,23.038084030151367,701.31433,455.91147
9999937_00000_d_00002213_features,individual,0000204_00332_d_00001924_features,0.6033888,0.3966112,24.7794189453125,725.7663,446.29907
9999937_00000_d_00002213_features,individual,maybe_pickup_frame243013_features,0.5278397,0.47216022,27.482019424438477,820.5497,401.52026
9999937_00000_d_00002213_features,individual,pickuptruck2_346_features_rare2,0.6298716,0.3701284,22.874710083007812,740.9892,435.94806
pickuptruck2_292_features,averaged,averaged_features,0.67109025,0.32890975,19.541053771972656,553.8861,384.6181
pickuptruck2_292_features,individual,0000076_05079_d_00000196_features_rare1,0.68324584,0.31675416,21.297710418701172,629.2162,450.63666
pickuptruck2_292_features,individual,0000204_00332_d_00001924_features,0.6396001,0.36040002,23.309654235839844,657.41907,437.78363
pickuptruck2_292_features,individual,maybe_pickup_frame243013_features,0.5810263,0.41897374,25.54586410522461,730.51373,409.00012
pickuptruck2_292_features,individual,pickuptruck2_346_features_rare2,0.8091105,0.19088966,16.462114334106445,520.1438,518.2184
pickuptruck3_662_features,averaged,averaged_features,0.7337543,0.26624578,19.599515914916992,549.8181,516.69446
pickuptruck3_662_features,individual,0000076_05079_d_00000196_features_rare1,0.6525784,0.34742153,23.74121856689453,727.29956,528.8307
pickuptruck3_662_features,individual,0000204_00332_d_00001924_features,0.66562223,0.33437783,23.786529541015625,694.3707,559.77466
pickuptruck3_662_features,individual,maybe_pickup_frame243013_features,0.6940161,0.3059839,23.1632022857666,683.0822,600.24927
pickuptruck3_662_features,individual,pickuptruck2_346_features_rare2,0.6802964,0.3197037,22.431665420532227,719.66943,535.3497
